Animal_ID,Name_Intake,Found_Location,Intake_Type,Intake_Condition,Animal_Type_Intake,Sex_upon_Intake,Age_upon_Intake,Breed_Intake,Color_Intake,Sex_upon_Outcome,Age_upon_Outcome,binary_outcome,year_intake,month_intake,year_outcome,month_outcome,birth_year,birth_month
A730730,*Trucker,5409 Purple Sage in Austin (TX),Stray,Normal,Dog,Intact Male,0.5833333333333333,Basset Hound Mix,White/Tan,Neutered Male,0.6666666666666666,0.0,2016,7,2016,7,2015,11
A678780,*Ally Marie,Prospect & East 9Th in Austin (TX),Stray,Normal,Dog,Intact Female,0.16666666666666666,Plott Hound Mix,Brown Brindle,Spayed Female,0.25,0.0,2014,5,2014,5,2014,2
A781000,,10120 Gertrudis Loop in Austin (TX),Stray,Normal,Dog,Unknown,0.019230769230769232,Pit Bull Mix,Brown/White,Unknown,0.019230769230769232,0.0,2018,9,2018,9,2018,9
A781641,*Petunia,5811 Melody Lane in Travis (TX),Stray,Normal,Dog,Intact Female,2.0,Pit Bull Mix,Buff/White,Spayed Female,2.0,0.0,2018,10,2018,10,2016,10
A672278,*Vera,9219 Anderson Mill Rd in Austin (TX),Stray,Normal,Cat,Intact Female,2.0,Domestic Shorthair Mix,Black/White,Spayed Female,2.0,0.0,2014,2,2014,3,2012,2
A633455,Chiquita,3603 Southridge Drive in Austin (TX),Stray,Normal,Dog,Spayed Female,11.0,Miniature Poodle,White,Spayed Female,12.0,0.0,2018,7,2018,7,2006,7
A609565,Tallie,11213 Chatan Berry Lane in Austin (TX),Stray,Normal,Dog,Spayed Female,4.0,Border Collie/Pointer,Black/White,Spayed Female,4.0,0.0,2016,4,2016,4,2011,6
A736154,,304 Masterson Pass #273 in Austin (TX),Stray,Injured,Cat,Intact Male,0.07692307692307693,Domestic Medium Hair Mix,Black,Intact Male,0.07692307692307693,0.0,2016,10,2016,10,2016,9
A776881,,3614 Bill Price in Travis (TX),Wildlife,Normal,Other,Unknown,1.0,Bat Mix,Brown,Unknown,1.0,1.0,2018,7,2018,7,2017,7
A500065,Bruno,7315 Cooper Ln in Austin (TX),Stray,Normal,Cat,Neutered Male,13.0,Domestic Shorthair Mix,Flame Point/White,Neutered Male,13.0,0.0,2015,2,2015,2,2002,2
A775287,*Cupcake,7928 Coulver Rd in Travis (TX),Stray,Normal,Dog,Intact Female,1.0,Border Collie Mix,Black/White,Spayed Female,2.0,0.0,2018,6,2018,7,2016,6
A750849,Tom,Austin (TX),Owner Surrender,Normal,Cat,Neutered Male,17.0,Domestic Shorthair Mix,Brown Tabby,Neutered Male,17.0,0.0,2017,6,2017,6,2000,6
A709811,Eli,Austin (TX),Owner Surrender,Normal,Dog,Intact Male,3.0,Pug,Black/White,Intact Male,3.0,0.0,2015,8,2015,8,2012,8
